model,parameter_count,noise_std,K,rmse,mae
rnn,16952,0.0,1,0.2755245535405665,0.19511488894404547
rnn,16952,0.0,3,0.27549444384327987,0.19506319064170416
rnn,16952,0.0,5,0.2754839507820606,0.19504636261101818
rnn,16952,0.1,1,0.275524856469902,0.1951161375805052
rnn,16952,0.1,3,0.27549468286648265,0.19506474769255283
rnn,16952,0.1,5,0.275484110455822,0.19504790931458912
rnn,16952,0.3,1,0.2755315150338124,0.19513562799900042
rnn,16952,0.3,3,0.27549687825857005,0.1950797168277968
rnn,16952,0.3,5,0.27548660221191196,0.19506286357710875
rnn,16952,0.5,1,0.2760089914342571,0.19565231497820626
rnn,16952,0.5,3,0.2759744861414004,0.19559478632010155
rnn,16952,0.5,5,0.27596228713449134,0.19558017987544538
lstm,59192,0.0,1,0.275462173895999,0.19409718785247015
lstm,59192,0.0,3,0.2754386240603512,0.19394935165395022
lstm,59192,0.0,5,0.2754290269407084,0.19392199928494117
lstm,59192,0.1,1,0.27547061951932006,0.19426169344841487
lstm,59192,0.1,3,0.2754468348917357,0.19411479169649004
lstm,59192,0.1,5,0.27543765123208275,0.19408761135590974
lstm,59192,0.3,1,0.27570050581782557,0.19531203097822056
lstm,59192,0.3,3,0.27571379160291726,0.19520911982307554
lstm,59192,0.3,5,0.275753587518974,0.19522828034069278
lstm,59192,0.5,1,0.2901478793670868,0.21291835505445383
lstm,59192,0.5,3,0.29100342534440427,0.2138129061177189
lstm,59192,0.5,5,0.29262744199853935,0.21546881337508203
gru,45112,0.0,1,0.27545846702174215,0.1945956083118924
gru,45112,0.0,3,0.27541729172997836,0.19415536592304544
gru,45112,0.0,5,0.2754245183734154,0.19400400723226494
gru,45112,0.1,1,0.27551546906552127,0.1947366138773731
gru,45112,0.1,3,0.27545855219138027,0.19428824209527337
gru,45112,0.1,5,0.2754648604198678,0.19412908151078598
gru,45112,0.3,1,0.27574144203769985,0.1951389369449524
gru,45112,0.3,3,0.27566188104596984,0.1946873130610564
gru,45112,0.3,5,0.27567263091221844,0.1945445136328005
gru,45112,0.5,1,0.2759109430209855,0.1952824950985616
gru,45112,0.5,3,0.2758224555477031,0.19484252712424743
gru,45112,0.5,5,0.2758503881656611,0.1947244186912912
lnn,14392,0.0,1,0.27550763883376045,0.1948472357466098
lnn,14392,0.0,3,0.2754766766579614,0.1947625297404038
lnn,14392,0.0,5,0.27546586536451334,0.1947229963119688
lnn,14392,0.1,1,0.2755433669975878,0.19544933373953421
lnn,14392,0.1,3,0.2755127807106828,0.19536403341573103
lnn,14392,0.1,5,0.2755022038474735,0.19532463433224162
lnn,14392,0.3,1,0.2786319929622468,0.2019029913762412
lnn,14392,0.3,3,0.278693767770404,0.20194042836323675
lnn,14392,0.3,5,0.27879635811281117,0.20206998486645472
lnn,14392,0.5,1,0.2884064822461943,0.2135940711184086
lnn,14392,0.5,3,0.2887958222015722,0.21394330356053115
lnn,14392,0.5,5,0.2889939829363913,0.21416839063271773
